rank,title,artist,album,genre,streams,source,fetched_at,score,key
27,Freakinâ Out,Dexter and The Moonrocks,,,608570,spotify_us,2026-07-03,48.0,freakinâ out — dexter and the moonrocks
28,My Body Isn't Ready,sombr,,,607949,spotify_us,2026-07-03,46.0,my body isn't ready — sombr
29,Dreams - 2001 Remaster,Fleetwood Mac,,,607879,spotify_us,2026-07-03,44.0,dreams - 2001 remaster — fleetwood mac
30,less,Olivia Rodrigo,,,601027,spotify_us,2026-07-03,42.0,less — olivia rodrigo
31,begged,Olivia Rodrigo,,,598448,spotify_us,2026-07-03,40.0,begged — olivia rodrigo
32,Self Aware,Temper City,,,596676,spotify_us,2026-07-03,38.0,self aware — temper city
33,Beat It,Michael Jackson,,,588150,spotify_us,2026-07-03,36.0,beat it — michael jackson
34,Beauty And A Beat (w/ Nicki Minaj ),Justin Bieber,,,584667,spotify_us,2026-07-03,34.0,beauty and a beat (w/ nicki minaj ) — justin bieber
35,Orbiter,Noah Kahan,,,582247,spotify_us,2026-07-03,32.0,orbiter — noah kahan
36,I Can't Love You Anymore (w/ Morgan Wallen ),Ella Langley,,,553952,spotify_us,2026-07-03,30.0,i can't love you anymore (w/ morgan wallen ) — ella langley
37,NOBLE,F3miii,,,552770,spotify_us,2026-07-03,28.000000000000004,noble — f3miii
38,"ICONIC BY MISTAKE (w/ ILLIT , KATSEYE )",LE SSERAFIM,,,551227,spotify_us,2026-07-03,26.0,"iconic by mistake (w/ illit , katseye ) — le sserafim"
39,Stateside + Zara Larsson (w/ Zara Larsson ),PinkPantheress,,,551097,spotify_us,2026-07-03,24.0,stateside + zara larsson (w/ zara larsson ) — pinkpantheress
40,So Easy (To Fall In Love),Olivia Dean,,,547128,spotify_us,2026-07-03,22.0,so easy (to fall in love) — olivia dean
41,back to friends,sombr,,,535491,spotify_us,2026-07-03,20.0,back to friends — sombr
42,DtMF,Bad Bunny,,,534207,spotify_us,2026-07-03,18.0,dtmf — bad bunny
43,misery.,pupsies,,,526137,spotify_us,2026-07-03,16.0,misery. — pupsies
44,Shabang,Drake,,,520742,spotify_us,2026-07-03,14.000000000000002,shabang — drake
45,Ordinary,Alex Warren,,,519424,spotify_us,2026-07-03,12.0,ordinary — alex warren
46,Doors,Noah Kahan,,,516576,spotify_us,2026-07-03,10.0,doors — noah kahan
47,The One That Got Away,Katy Perry,,,504359,spotify_us,2026-07-03,8.0,the one that got away — katy perry
48,Iris,The Goo Goo Dolls,,,503908,spotify_us,2026-07-03,6.0,iris — the goo goo dolls
49,End of Beginning,Djo,,,500867,spotify_us,2026-07-03,4.0,end of beginning — djo
50,Human Nature,Michael Jackson,,,500225,spotify_us,2026-07-03,2.0,human nature — michael jackson
1,Choosin' Texas,Ella Langley,,,0,billboard,2026-07-03,100.0,choosin' texas — ella langley
2,"I Knew It, I Knew You",Taylor Swift,,,0,billboard,2026-07-03,98.0,"i knew it, i knew you — taylor swift"
3,Be Her,Ella Langley,,,0,billboard,2026-07-03,96.0,be her — ella langley
